date,voc,N,core_export_n
2020.7431693989072,alpha,0,0
2020.7622950819673,alpha,0,0
2020.7814207650274,alpha,0,0
2020.8005464480875,alpha,0,0
2020.8196721311476,alpha,0,0
2020.8387978142077,alpha,1,1
2020.8579234972678,alpha,1,1
2020.877049180328,alpha,1,1
2020.896174863388,alpha,4,4
2020.9153005464482,alpha,7,7
2020.9344262295083,alpha,35,35
2020.9535519125684,alpha,67,63
2020.9726775956285,alpha,70,65
2020.9918032786886,alpha,89,80
2021.0109589041097,alpha,140,122
2021.0301369863014,alpha,130,107
2021.0493150684931,alpha,134,104
2021.0684931506848,alpha,155,105
2021.0876712328768,alpha,56,43
2021.1068493150685,alpha,53,42
2021.1260273972603,alpha,95,69
2021.145205479452,alpha,147,110
2021.164383561644,alpha,137,97
2021.1835616438357,alpha,98,65
2021.2027397260274,alpha,109,80
2021.2219178082191,alpha,94,67
2021.2410958904109,alpha,117,77
2021.2602739726028,alpha,112,74
2021.2794520547945,alpha,112,78
2021.2986301369863,alpha,103,63
2021.317808219178,alpha,95,68
2021.33698630137,alpha,84,53
2021.3561643835617,alpha,77,45
2021.3753424657534,alpha,59,40
2021.3945205479451,alpha,35,26
2021.4136986301369,alpha,27,20
2021.4328767123288,alpha,16,11
2021.4520547945206,alpha,11,11
2021.4712328767123,alpha,9,9
2021.490410958904,alpha,32,21
2021.509589041096,alpha,58,40
2021.5287671232877,alpha,78,60
2021.5479452054794,alpha,70,50
2021.5671232876712,alpha,35,27
2021.5863013698631,alpha,14,11
2021.6054794520549,alpha,2,2
2021.6246575342466,alpha,5,4
2021.6438356164383,alpha,2,2
2021.66301369863,alpha,0,0
2020.7431693989072,delta,0,0
2020.7622950819673,delta,0,0
2020.7814207650274,delta,0,0
2020.8005464480875,delta,0,0
2020.8196721311476,delta,1,1
2020.8387978142077,delta,0,0
2020.8579234972678,delta,0,0
2020.877049180328,delta,0,0
2020.896174863388,delta,1,1
2020.9153005464482,delta,0,0
2020.9344262295083,delta,0,0
2020.9535519125684,delta,0,0
2020.9726775956285,delta,0,0
2020.9918032786886,delta,1,1
2021.0109589041097,delta,0,0
2021.0301369863014,delta,0,0
2021.0493150684931,delta,0,0
2021.0684931506848,delta,0,0
2021.0876712328768,delta,0,0
2021.1068493150685,delta,0,0
2021.1260273972603,delta,0,0
2021.145205479452,delta,1,1
2021.164383561644,delta,2,2
2021.1835616438357,delta,1,1
2021.2027397260274,delta,2,2
2021.2219178082191,delta,2,2
2021.2410958904109,delta,3,3
2021.2602739726028,delta,2,2
2021.2794520547945,delta,6,6
2021.2986301369863,delta,17,17
2021.317808219178,delta,32,32
2021.33698630137,delta,18,17
2021.3561643835617,delta,21,20
2021.3753424657534,delta,30,25
2021.3945205479451,delta,69,59
2021.4136986301369,delta,57,44
2021.4328767123288,delta,68,48
2021.4520547945206,delta,57,43
2021.4712328767123,delta,40,30
2021.490410958904,delta,124,107
2021.509589041096,delta,552,424
2021.5287671232877,delta,535,336
2021.5479452054794,delta,340,219
2021.5671232876712,delta,239,161
2021.5863013698631,delta,132,86
2021.6054794520549,delta,81,51
2021.6246575342466,delta,84,56
2021.6438356164383,delta,66,41
2021.66301369863,delta,94,66
