variant,epiweek,RIVMweek,observerd_proportion,observed_variant_cases,total_cases,modelled_proportion
alpha,1,2020-W49,0.00819672131147541,1,122,0.0128026488169763
alpha,2,2020-W50,0.00819672131147541,1,122,0.0199092262235
alpha,3,2020-W51,0.0164609053497942,4,243,0.0308373450726966
alpha,4,2020-W52,0.0330578512396694,8,242,0.0474733286442624
alpha,5,2020-W53,0.0747663551401869,16,214,0.072413445602326
alpha,6,2021-W01,0.167155425219941,57,341,0.108957116884605
alpha,7,2021-W02,0.174285714285714,61,350,0.160746767670008
alpha,8,2021-W03,0.269041769041769,219,814,0.23077748774346
alpha,9,2021-W04,0.308962264150943,262,848,0.319695752885057
alpha,10,2021-W05,0.328888888888889,296,900,0.423990181735056
alpha,11,2021-W06,0.496319663512093,472,951,0.535525421724558
alpha,12,2021-W07,0.684210526315789,728,1064,0.643616917937281
alpha,13,2021-W08,0.798076923076923,913,1144,0.738821721854155
alpha,14,2021-W09,0.85006518904824,1304,1534,0.815869453200276
alpha,15,2021-W10,0.87570912841671,1698,1939,0.874062408541997
alpha,16,2021-W11,0.914010823812387,1520,1663,0.915762837931047
alpha,17,2021-W12,0.926966292134832,1485,1602,0.944531680135359
alpha,18,2021-W13,0.937456078706957,1334,1423,0.963863042772658
alpha,19,2021-W14,0.951487710219922,1471,1546,0.976623935970475
alpha,20,2021-W15,0.947300771208226,1474,1556,0.984948993762818
alpha,21,2021-W16,0.957767722473605,1270,1326,0.990338529294243
alpha,22,2021-W17,0.963333333333333,1445,1500,0.99381028258114
delta,22,2021-W17,0.00133333333333333,2,1500,0.000247188879863386
alpha,23,2021-W18,0.966362999299229,1379,1427,0.996039484999774
delta,23,2021-W18,0.00210231254379818,3,1427,0.000695048294387605
alpha,24,2021-W19,0.962962962962963,1248,1296,0.997467894455483
delta,24,2021-W19,0.00462962962962963,6,1296,0.00195275917879697
delta,25,2021-W20,0.0129533678756477,15,1158,0.00547386944366874
delta,26,2021-W21,0.020952380952381,22,1050,0.0152470620816553
delta,27,2021-W22,0.0356756756756757,33,925,0.0417372781920743
delta,28,2021-W23,0.139056831922612,115,827,0.10915022875546
delta,29,2021-W24,0.259938837920489,170,654,0.256321945308182
delta,30,2021-W25,0.459016393442623,168,366,0.492276288445734
delta,31,2021-W26,0.746682750301568,619,829,0.731722481677025
delta,32,2021-W27,0.903907074973601,1712,1894,0.884694373479357
delta,33,2021-W28,0.958508719182201,1594,1663,0.955720034114655
delta,34,2021-W29,0.976621417797888,1295,1326,0.98379677967781
delta,35,2021-W30,0.982412060301508,782,796,0.99417923612322
delta,36,2021-W31,0.996587030716723,876,879,0.997923022991471
delta,37,2021-W32,0.994606256742179,922,927,0.999260679415531
delta,38,2021-W33,0.996282527881041,1072,1076,0.999737058495391
delta,39,2021-W34,1,901,901,0.999906512810685
